"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","SH2BA","QZK6L2663802","825393561705","1","100","Song","ZA","0.00000","0.001825323600",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","SH2BA","QZK6L2663802","825393561705","6","100","Song","US","0.00000","0.025207995432",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Exit","QZK6N2593531","199341681549","3","100","Song","US","0.00000","0.019363300915",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Shoes That Float","QZES92546563","199081913924","6","100","Song","US","0.00000","0.021686576987",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","71","100","Song","US","0.00000","0.299066537681",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","UA","0.00000","0.002410286411",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","4","100","Song","EC","0.00000","0.008621024424",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Great Riddance","QZTAS2416994","198669338319","4","100","Song","US","0.00000","0.018836238285",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Faire Enough","QZK6M2363877","197814381859","4","100","Song","US","0.00000","0.014629738432",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","6","100","Song","TH","0.00000","0.016479376575",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","3","100","Song","NO","0.00000","0.026702178221",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","IN","0.00000","0.001095023794",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","SH2BA","QZK6L2663802","825393561705","4","100","Song","IL","0.00000","0.034858756677",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","9","100","Song","IL","0.00000","0.074119556557",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","For The Birds","QZK6M2363876","197814381859","4","100","Song","IL","0.00000","0.034858756677",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Pilot","QZK6M2363873","197814381859","4","100","Song","IL","0.00000","0.034858756677",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","7","100","Song","GB","0.00000","0.048238811368",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","SH2BA","QZK6L2663802","825393561705","1","100","Song","DE","0.00000","0.004027795329",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","FR","0.00000","0.006400364106",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","DE","0.00000","0.015314908236",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","CZ","0.00000","0.004116978582",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","CO","0.00000","0.001357387818",
"2026-05-27","2026-05-27","2026-04","Apple Music","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","CL","0.00000","0.003788397780",
