submit_id,artist,title,curator,publication,offer_id,completion_date,accept_type,contribution,completion_url
94841,"Socially Acceptable","Great Riddance","Teeth Sound",teethsound.com,2081160,"2024-07-28 13:22:51",Free,0.00,https://x.com/teethsoundhq/status/1817551226793247144?s=46
94841,"Socially Acceptable","Great Riddance",Radmila,Rocky,2081236,"2024-07-28 11:56:55",Free,0.00,https://open.spotify.com/playlist/6AoQqWQ9vNjfXYpAwuX8Eh
94841,"Socially Acceptable","Great Riddance","Katrina Yang","Punk Head",2081256,"2024-07-28 11:56:36",Free,0.00,https://open.spotify.com/playlist/2hDqB8XmjzU0buqVfQKrMW
94841,"Socially Acceptable","Great Riddance","Carmen Ricono","Tape Ranger",2081280,"2024-07-28 19:47:56",Free,0.00,https://open.spotify.com/playlist/5bBjFPrXvdySa7C2iNsZca
94841,"Socially Acceptable","Great Riddance","Senocular Media","Senocular Media",2081349,"2024-07-28 11:55:24",Free,0.00,https://open.spotify.com/playlist/6QinjsSwH7zeHULCU91B7i
94841,"Socially Acceptable","Great Riddance",Javi,"Javi’s Playlist &amp; The Music Boutique",2081361,"2024-07-29 20:15:38",Free,0.00,https://on.soundcloud.com/ca77o2G2neCK8hYy8
94841,"Socially Acceptable","Great Riddance","Barbie Edonia",Chunedesk,2081384,"2024-09-01 08:22:05",Free,0.00,https://www.instagram.com/stories/chunedesk/3447057294770316589?utm_source=ig_story_item_share&amp;igsh=Nzd3bWMyNnR3NW13
94841,"Socially Acceptable","Great Riddance","Hidayet Melih Durandurdu",ZenoMusic,2081404,"2024-07-28 11:57:54",Free,0.00,https://open.spotify.com/playlist/1wFLoAeqaejoFS0kNa2o7G
94841,"Socially Acceptable","Great Riddance","Mohit Chandani","Muse Chronicle",2081458,"2024-07-28 11:54:39",Free,0.00,https://open.spotify.com/playlist/1o3jZLt7pZewd2MA1lLNcB
94841,"Socially Acceptable","Great Riddance","Andrea @ Rising Artists","Rising Artists",2081482,"2024-07-28 11:53:28",Free,0.00,https://open.spotify.com/playlist/1ujkm3UedpaWypFojhqYE3
94841,"Socially Acceptable","Great Riddance","Monika Demmler","Dr Monika Demmler",2081527,"2024-07-28 11:52:50",Free,0.00,https://open.spotify.com/playlist/0OQY33I0zPRjEPSo9RQLVN
94841,"Socially Acceptable","Great Riddance",KIMU,KIMU,2081587,"2024-07-28 11:50:27",Free,0.00,https://open.spotify.com/playlist/2PdSPlgh1Ra7QTNDRNNO4N
94841,"Socially Acceptable","Great Riddance",vishalnaidu,"Sinusoidal Music",2081613,"2024-07-28 11:48:45",Free,0.00,https://open.spotify.com/playlist/4P5ddy0gj2XDyIHSuyTQXt
94841,"Socially Acceptable","Great Riddance","Akuwa Atta","Euphony BlogNet",2081671,"2024-07-28 11:47:04",Free,0.00,https://open.spotify.com/playlist/0yrfr4yhb3HrVecxAVdWVp
94841,"Socially Acceptable","Great Riddance",Adrian,"Berlin On Air",2081787,"2024-07-28 11:45:39",Free,0.00,https://open.spotify.com/playlist/59ThP7JIbSQOx9uEt75dpZ
94841,"Socially Acceptable","Great Riddance",Rina,"Rina Unicorn",2081823,"2024-07-28 11:32:22",Free,0.00,https://open.spotify.com/playlist/7CMot2HTNG0TPOg0gj6eNJ
94841,"Socially Acceptable","Great Riddance","Jeremy Bregman","Mesmerized Mag",2081867,"2024-07-28 11:44:40",Free,0.00,https://open.spotify.com/playlist/1b9cCANbn5uqylcTb5hruz
94841,"Socially Acceptable","Great Riddance","Precious Felix","Jyla's blog",2081889,"2024-07-28 11:41:16",Free,0.00,https://open.spotify.com/playlist/5800zGQauO7MWYZ8crVsSM
94841,"Socially Acceptable","Great Riddance","True Heat","True Heat",2081905,"2024-07-28 16:24:34",Free,0.00,https://open.spotify.com/playlist/2T4nb77XgxTrZjeHI9DRkD?si=9665be7b260b4682
94841,"Socially Acceptable","Great Riddance","Federico Nico Berardi","Dolce Brano",2081926,"2024-07-28 11:38:37",Free,0.00,https://open.spotify.com/playlist/0n4T4qPoeI8eGM9qt3QYEa
94841,"Socially Acceptable","Great Riddance","Artisti Online","Artisti Online",2081942,"2024-07-28 10:47:07",Free,0.00,https://open.spotify.com/playlist/2rSE4vSpkQsKhw9991UZx3
94841,"Socially Acceptable","Great Riddance","Dave Franklin","The Big Takeover",2081974,"2024-07-28 11:37:40",Free,0.00,https://open.spotify.com/playlist/3iqKvRFHoIWLX4fBi2Pi9u
94841,"Socially Acceptable","Great Riddance",indiemusicflix,indiemusicflix,2082040,"2024-08-07 16:14:14",Free,0.00,https://x.com/indiemusicflix/status/1821218281979556341
94841,"Socially Acceptable","Great Riddance","Lee Papadopoulos","Eat This Rock Blog",2082086,"2024-08-10 06:19:02",Free,0.00,https://open.spotify.com/playlist/6mgK1t3VWwUXrEBFddLYA6
94841,"Socially Acceptable","Great Riddance","Broken 8 Records","Broken 8 Records",2082089,"2024-07-29 04:00:58",Free,0.00,https://www.facebook.com/broken8records/posts/pfbid0PfxkCZRMPhfuktX3Fxo9cyuT6C4hxiFztBN2PyPjMrqnbPqE5iB2V3jQWuQuYJqBl
94841,"Socially Acceptable","Great Riddance","Chris Mariotti","Edgar Allan Poets",2082126,"2024-07-28 12:41:42",Free,0.00,https://open.spotify.com/playlist/2lBvTEXjNMLFx93D1sn86V
94841,"Socially Acceptable","Great Riddance","Kamil Bobin","The Musical Road",2082206,"2024-07-28 11:33:55",Free,0.00,https://open.spotify.com/playlist/65iPYZBgaLrCpYPGSnOmm0
94841,"Socially Acceptable","Great Riddance","Head Editor","Lost in the Manor",2082288,"2024-07-28 12:01:33",Free,0.00,https://open.spotify.com/playlist/6OdaaioHy6LATyahpjIJ2s
94841,"Socially Acceptable","Great Riddance","Good Music Radar","Brand New Tracks",2082334,"2024-08-05 06:58:28",Free,0.00,https://x.com/brandnewtrackz/status/1820353627988414478
94841,"Socially Acceptable","Great Riddance","Elvis Ampaabeng",HailTunes,2082367,"2024-07-28 12:24:21",Free,0.00,https://open.spotify.com/playlist/4aYFCWIKXbzJgJQ5GqIOii
94841,"Socially Acceptable","Great Riddance",Apollo,"Apollo's Harp",2082371,"2024-07-28 12:23:13",Free,0.00,https://open.spotify.com/playlist/2WXxP89Z5hWYUzt7eCm6nw
94841,"Socially Acceptable","Great Riddance","Rádio Armazém","Radio Armazem",2082391,"2024-07-28 14:03:20",Free,0.00,https://open.spotify.com/playlist/1TI6sNRZQOcKG66GBA2VXq
94841,"Socially Acceptable","Great Riddance",thoughtswordsaction,"Thoughts Words Action",2082475,"2024-07-31 07:39:03",Free,0.00,https://x.com/punkrockblog/status/1818551905821360617
94841,"Socially Acceptable","Great Riddance",oursoundmusic,"Our Sound Music",2082483,"2024-07-29 17:22:25",Free,0.00,https://open.spotify.com/playlist/4V9xhIQYPoPsunqSo2freT
94841,"Socially Acceptable","Great Riddance","Dean K. Achea","Music and Entertainers",2082705,"2024-07-28 18:45:11",Free,0.00,https://open.spotify.com/playlist/0G3chmW0aXqWFV9V7pu9zp
94841,"Socially Acceptable","Great Riddance",lacavernamx,lacaverna.net,2082788,"2024-07-28 18:46:00",Free,0.00,https://open.spotify.com/playlist/1fbfloPfFTW82zZ5yDGnPZ
94841,"Socially Acceptable","Great Riddance",Marco,Obliq____,2082845,"2024-07-28 19:19:40",Free,0.00,https://open.spotify.com/playlist/19q2Ryu5oIi5xDLCmx0erx
