submit_id,artist,title,curator,publication,offer_id,completion_date,accept_type,contribution,completion_url
112233,"Socially Acceptable",SH2BA,KIMU,KIMU,3770535,"2026-03-07 00:41:59",Free,0.00,https://open.spotify.com/playlist/2PdSPlgh1Ra7QTNDRNNO4N
112233,"Socially Acceptable",SH2BA,Chris,"Music Arena GH",3770833,"2026-03-18 01:38:56",Free,0.00,https://x.com/music_arenagh/status/2034082048617459815?s=20
112233,"Socially Acceptable",SH2BA,"Ze Rock Radio","Ze Rock Radio",3770845,"2026-03-07 06:05:09",Free,0.00,https://open.spotify.com/playlist/2btxwr04iI2awBjbATsOqo
112233,"Socially Acceptable",SH2BA,"Senocular Media","Senocular Media",3770846,"2026-03-07 06:05:46",Free,0.00,https://open.spotify.com/playlist/6QinjsSwH7zeHULCU91B7i
112233,"Socially Acceptable",SH2BA,"Andrea Smith","POPFAD MUSIC BLOG",3770888,"2026-03-07 06:06:11",Free,0.00,https://open.spotify.com/playlist/1ujkm3UedpaWypFojhqYE3
112233,"Socially Acceptable",SH2BA,"Graham Peters","Hit Harmony Haven",3770897,"2026-03-07 06:09:03",Free,0.00,https://open.spotify.com/playlist/2SU2dbTbTngibiXJONzv8M
112233,"Socially Acceptable",SH2BA,"Jeremy Bregman","Savoy Truffle Tunes",3770929,"2026-03-07 06:12:25",Free,0.00,https://open.spotify.com/playlist/1OqUSqneXrLR43gpgzSW4v
112233,"Socially Acceptable",SH2BA,"Hannah Robinson","Little Garden",3770949,"2026-03-07 06:12:45",Free,0.00,https://open.spotify.com/playlist/0KTZiV5N7Pg1xJxMypgg9v
112233,"Socially Acceptable",SH2BA,"Amankwah Solomon",Swiispa,3771004,"2026-03-07 06:13:10",Free,0.00,https://open.spotify.com/playlist/6eXKPs5tNGjIFuyFaKW1xa
112233,"Socially Acceptable",SH2BA,"Melody Arena",Melodyareana,3771091,"2026-03-07 06:13:28",Free,0.00,https://open.spotify.com/playlist/0GviLlWkPKhIs13s7x2mIU
112233,"Socially Acceptable",SH2BA,lacavernamx,lacaverna.net,3771110,"2026-03-07 06:13:51",Free,0.00,https://open.spotify.com/playlist/1fbfloPfFTW82zZ5yDGnPZ
112233,"Socially Acceptable",SH2BA,"Elvis Ampaabeng",Musikepool,3771130,"2026-03-07 06:14:48",Free,0.00,https://open.spotify.com/playlist/6Z5uw7k6QDaMBgp6Xlln6T
112233,"Socially Acceptable",SH2BA,"Monika Demmler","Dr Monika Demmler",3771172,"2026-03-07 06:15:22",Free,0.00,https://open.spotify.com/playlist/0OQY33I0zPRjEPSo9RQLVN
112233,"Socially Acceptable",SH2BA,violet,ennuuii,3771193,"2026-03-07 06:15:40",Free,0.00,https://open.spotify.com/playlist/2cUNK5ZR8YIhI38SXtaIyL
112233,"Socially Acceptable",SH2BA,Tunesaround,tunesaround,3771206,"2026-03-07 06:15:57",Free,0.00,https://open.spotify.com/playlist/1s5lRsIpf50EHTSZqhaRhb
112233,"Socially Acceptable",SH2BA,indiemusicflix,indiemusicflix,3771254,"2026-03-07 06:16:11",Free,0.00,https://open.spotify.com/playlist/3iOkw4AkzYipiYJB2tY5An
112233,"Socially Acceptable",SH2BA,KMasters,"KMasters - Music Station",3771266,"2026-03-07 06:16:34",Free,0.00,https://open.spotify.com/playlist/1T5wIPdfK8jhtHKkZed2Cu
112233,"Socially Acceptable",SH2BA,Luke,musicaldimension8d,3771278,"2026-03-07 06:16:52",Free,0.00,https://open.spotify.com/playlist/0C16G1w2VCfgH64wf4BNX5
112233,"Socially Acceptable",SH2BA,Falcodice,Falcodice,3771377,"2026-03-07 06:17:14",Free,0.00,https://open.spotify.com/playlist/11pvQmu7iVVU35VQuzsDyi
112233,"Socially Acceptable",SH2BA,Sambhav,"Testing Melodies",3771417,"2026-03-07 14:51:30",Free,0.00,https://open.spotify.com/playlist/5tNBzCWNyauaHxBFwe9p11
112233,"Socially Acceptable",SH2BA,Sambhav,"Testing Melodies",3771418,"2026-03-07 14:51:47",Free,0.00,https://open.spotify.com/playlist/7bKrbL1i3aQScUSINZFW5c
112233,"Socially Acceptable",SH2BA,"Chris Mariotti","Edgar Allan Poets",3771440,"2026-03-07 14:55:37",Free,0.00,https://open.spotify.com/playlist/3VPeTj2j9VGgdpyVilKA0I
112233,"Socially Acceptable",SH2BA,"Good Music Radar","Good Music Radar",3771503,"2026-03-07 15:02:13",Free,0.00,https://open.spotify.com/playlist/1WgmzffsZ6cR096DBsm0Ts
112233,"Socially Acceptable",SH2BA,"Head Editor","Lost in the Manor",3771605,"2026-03-07 15:02:30",Free,0.00,https://open.spotify.com/playlist/6OdaaioHy6LATyahpjIJ2s
112233,"Socially Acceptable",SH2BA,Gabriel,"Mesmerized Mag",3771658,"2026-03-07 15:02:39",Free,0.00,https://open.spotify.com/playlist/1b9cCANbn5uqylcTb5hruz
112233,"Socially Acceptable",SH2BA,Greg,BOPS,3771790,"2026-03-07 15:02:48",Free,0.00,https://open.spotify.com/playlist/6DmLoXX8prf5myKp2O2yvL
112233,"Socially Acceptable",SH2BA,"Mohit Chandani","Muse Chronicle",3771831,"2026-03-07 15:03:03",Free,0.00,https://open.spotify.com/playlist/1o3jZLt7pZewd2MA1lLNcB
112233,"Socially Acceptable",SH2BA,Leela,"The Whistling Traveller",3771871,"2026-03-07 15:03:31",Free,0.00,https://open.spotify.com/playlist/4VXYhPoFDJyjM4autJB1MW
112233,"Socially Acceptable",SH2BA,Vitali,"Indie Dock Music Blog",3771901,"2026-03-07 15:03:43",Free,0.00,https://open.spotify.com/playlist/2a38WzPCumUIO2Ak753X9n
112233,"Socially Acceptable",SH2BA,"Manuel Bärtle",NeverGrownUp-Playlists,3771931,"2026-03-07 15:04:05",Free,0.00,https://open.spotify.com/playlist/57vGsXBFrYKFEvoevAlKvN
112233,"Socially Acceptable",SH2BA,Apollo,"Apollo's Harp",3771954,"2026-03-07 15:04:16",Free,0.00,https://open.spotify.com/playlist/6koJjmlAwC5SVgDYun635T
112233,"Socially Acceptable",SH2BA,"Akuwa Atta","Euphony BlogNet",3771998,"2026-03-07 15:04:28",Free,0.00,https://open.spotify.com/playlist/3HmIZm66yyYwQBqAZZbLhN
112233,"Socially Acceptable",SH2BA,"Cheeran Zoe","DE OCHTENDSCHIJN",3772080,"2026-03-07 15:04:37",Free,0.00,https://open.spotify.com/playlist/5gaad59b49CmLpyE5Bkrgk
112233,"Socially Acceptable",SH2BA,"Javi Radiobreo","Javi Radiobreo",3772108,"2026-03-07 15:04:51",Free,0.00,https://open.spotify.com/playlist/2QDm4No4WkjOXPbgpq69XX
112233,"Socially Acceptable",SH2BA,"Project Timbre","Project Timbre",3772227,"2026-03-07 15:07:48",Free,0.00,https://open.spotify.com/playlist/4k2OosQ0w4iexAoz4krODH
112233,"Socially Acceptable",SH2BA,"Jane Ordas","The Gatekeeper Space",3772301,"2026-03-07 15:07:59",Free,0.00,https://open.spotify.com/playlist/1gaiAaP1jurdkjzStX0SU9
112233,"Socially Acceptable",SH2BA,"Al Sangga","Alte Magazine",3772436,"2026-03-07 15:08:11",Free,0.00,https://open.spotify.com/playlist/6TRjoZvI4hhw9JIAzyc8mX
112233,"Socially Acceptable",SH2BA,"Angel Aranda","Indie Now",3772501,"2026-03-11 13:32:09",Free,0.00,https://www.instagram.com/stories/indienownow/3850502477867453571/
112233,"Socially Acceptable",SH2BA,FVMusicBlog,FVMusicBlog,3772517,"2026-03-07 15:08:30",Free,0.00,https://open.spotify.com/playlist/1qMvXpFN5XA3rn0FPm1P8n
112233,"Socially Acceptable",SH2BA,"Loop Solitaire","Loop Solitaire",3772598,"2026-03-07 15:08:39",Free,0.00,https://open.spotify.com/playlist/3pE4TrTQO9mBCJ246rt6EE
112233,"Socially Acceptable",SH2BA,"Elvis Ampaabeng",HailTunes,3772715,"2026-03-07 18:59:29",Free,0.00,https://open.spotify.com/playlist/2tmNYYqGLB9bcJcxHNM8QP
112233,"Socially Acceptable",SH2BA,Mena,"Rock Era Magazine",3772766,"2026-03-07 18:59:43",Free,0.00,https://open.spotify.com/playlist/4KA2LZp0qjzqPtQybZV9qA
112233,"Socially Acceptable",SH2BA,vishalnaidu,"Sinusoidal Music",3772855,"2026-03-07 18:59:53",Free,0.00,https://open.spotify.com/playlist/4P5ddy0gj2XDyIHSuyTQXt
112233,"Socially Acceptable",SH2BA,"Miruna Bosoi","Yokai Circle",3772923,"2026-03-07 19:00:03",Free,0.00,https://open.spotify.com/playlist/0ie7SOQjnDYy6qB0NFy7Nq
112233,"Socially Acceptable",SH2BA,"Simion Cristian Alexandru","Dizzy Boy",3772977,"2026-03-07 19:00:12",Free,0.00,https://open.spotify.com/playlist/1gv77WM19spPYZ4OmC5T7X
112233,"Socially Acceptable",SH2BA,Radmila,Rocky,3773174,"2026-03-07 20:33:26",Free,0.00,https://open.spotify.com/playlist/7KUDeTfNnRCb31v9htJ2l7
112233,"Socially Acceptable",SH2BA,Meikhel,"M.E.I. News",3773345,"2026-03-07 20:33:40",Free,0.00,https://open.spotify.com/playlist/2czKeh7FshbSwSGIuE1dzB
112233,"Socially Acceptable",SH2BA,"Fernando Triff",1111CR3W,3773622,"2026-03-08 18:56:45",Free,0.00,https://open.spotify.com/playlist/2y4A0gatH2SJoQQdBAQPAO
112233,"Socially Acceptable",SH2BA,thoughtswordsaction,"Thoughts Words Action",3774007,"2026-03-09 07:58:50",Free,0.00,https://x.com/punkrockblog/status/2030916173563310238
112233,"Socially Acceptable",SH2BA,"Lary Lima","Music For All",3774619,"2026-03-08 18:56:17",Free,0.00,https://open.spotify.com/playlist/5EvKLJA3LQjAyrSWFg46yS
112233,"Socially Acceptable",SH2BA,"Dave Franklin","The Big Takeover",3774720,"2026-03-08 18:56:26",Free,0.00,https://open.spotify.com/playlist/3iqKvRFHoIWLX4fBi2Pi9u
112233,"Socially Acceptable",SH2BA,"Gleison Junior","Roadie Music",3774775,"2026-03-08 18:56:03",Free,0.00,https://open.spotify.com/playlist/7jvysxMS0Sl1lPGj66EV5w
112233,"Socially Acceptable",SH2BA,Dulaxi,Dulaxi,3775062,"2026-03-08 18:55:55",Free,0.00,https://open.spotify.com/playlist/7127vwNX9hEMJWN3K0OxTt
112233,"Socially Acceptable",SH2BA,"The Interviewist","The Interviewist",3775106,"2026-03-08 18:55:46",Free,0.00,https://open.spotify.com/playlist/5XDkslqLXPzmLVEnc7y5wu
112233,"Socially Acceptable",SH2BA,iggymagazine,"IGGY MAGAZINE",3775238,"2026-03-08 18:55:36",Free,0.00,https://open.spotify.com/playlist/0wyV9awaAuCwDMPtFUvpOr
112233,"Socially Acceptable",SH2BA,Nami,"Introvert Disco",3775276,"2026-03-08 18:55:24",Free,0.00,https://open.spotify.com/playlist/33vgVKgT8LQvlBcgvmTqLG
112233,"Socially Acceptable",SH2BA,Valeria,"Atlas De Música",3775716,"2026-03-08 23:35:55",Free,0.00,https://open.spotify.com/playlist/4d3pr2Eq39neQ25urI5Rf2
112233,"Socially Acceptable",SH2BA,extravafrench,Extravafrench,3776020,"2026-03-08 23:35:43",Free,0.00,https://open.spotify.com/playlist/25TXrQJPFNJQP09iFhHd08
112233,"Socially Acceptable",SH2BA,BuzzyBand,"Buzzy Band",3776234,"2026-03-09 01:13:20",Free,0.00,https://open.spotify.com/playlist/7u2eMcUjlYwp2sCVtPeFDL
112233,"Socially Acceptable",SH2BA,Kristine,"Hella Fuzz",3776292,"2026-03-09 03:53:04",Free,0.00,https://open.spotify.com/playlist/13giGwgbqDwFp87V3GlOB0
112233,"Socially Acceptable",SH2BA,"Federico Nico Berardi","Dolce Brano",3776774,"2026-03-09 15:13:44",Free,0.00,https://open.spotify.com/playlist/0n4T4qPoeI8eGM9qt3QYEa
112233,"Socially Acceptable",SH2BA,"André Salles","You! Me! Dancing!",3777634,"2026-03-09 15:13:29",Free,0.00,https://open.spotify.com/playlist/6pGCsW0n1GAcjFERs5uyOL
112233,"Socially Acceptable",SH2BA,"Natalie Patrick",Earmilk,3777924,"2026-03-09 18:04:37",Free,0.00,https://open.spotify.com/playlist/2T5acMyoiLTzGpPqtrow0l
112233,"Socially Acceptable",SH2BA,"Victor Matheus",INDIEOCLOCK,3778912,"2026-03-10 03:05:52",Free,0.00,https://open.spotify.com/playlist/5eabjiwQXhihgN6X3xDhhT
112233,"Socially Acceptable",SH2BA,Ryann,"Révolutions De Rythme",3778986,"2026-03-10 03:05:40",Free,0.00,https://open.spotify.com/playlist/1bJPl7Kigszt0otxBYjHy3
112233,"Socially Acceptable",SH2BA,"Nick K","Volecho Magazine",3779163,"2026-03-10 03:05:30",Free,0.00,https://open.spotify.com/playlist/7nCQfSSikvEPorn78ARusH
112233,"Socially Acceptable",SH2BA,jessicamarinho,HBN,3779185,"2026-03-10 03:05:07",Free,0.00,https://open.spotify.com/playlist/0BmvSKn9Z1HrGk4xflEP3c
112233,"Socially Acceptable",SH2BA,"Illustrate Magazine","Illustrate Magazine",3779850,"2026-03-10 03:04:26",Free,0.00,https://open.spotify.com/playlist/2DkTIzencpLuY2P4Wx1Yt3
112233,"Socially Acceptable",SH2BA,Alessandro,"European Indie Music Network",3780014,"2026-03-14 17:18:53",Free,0.00,https://www.dropbox.com/scl/fi/r2jftd0d0s5ngmwcbravf/Socially-Acceptable-SH2BA.jpg?rlkey=d556s51kbyfbhyozx9uhruo52&amp;st=qg9lvfps&amp;dl=0
