Campaign url,Campaign date,Outlet,Outlet type,Outlet url,Outlet country,Action,Action timestamp,Feedback,Additional notes,Listen time (seconds)
https://www.submithub.com/campaign/djMp2HCXdTxTjWfZP,2024-09-28T17:42:21.266Z,The Sound Lab,Radio,https://www.thesoundlabuk.co.uk,United Kingdom,listen,2024-09-29T14:59:50.424Z,,,
https://www.submithub.com/campaign/djMp2HCXdTxTjWfZP,2024-09-28T17:42:21.266Z,The Sound Lab,Radio,https://www.thesoundlabuk.co.uk,United Kingdom,declined,2024-09-29T15:01:32.328Z,"The track is well made with sounds rockers will like however the sound here we feel is not modern enough in sound which for us, we would be looking for some more mainstream rock sounds to come through for the track to relate better to the other tracks we are playing",,103
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Obscure Sound,Blog,http://www.obscuresound.com/,United States,listen,2024-09-24T22:08:15.673Z,,,
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Obscure Sound,Blog,http://www.obscuresound.com/,United States,declined,2024-09-24T22:11:03.321Z,"Sweltering ""you've been searching for,"" vocal rise around 02:10 reminds fondly of Chris Cornell, tonally, and I enjoyed how the mellow keys conjoin seamlessly into bursting guitars throughout. A stellar production, though not one that impacted me enough melodically.",,168
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Glasse Factory,Blog,http://www.glassefactory.com,United States,listen,2024-09-25T03:21:48.569Z,,,
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Glasse Factory,Blog,http://www.glassefactory.com,United States,declined,2024-09-25T03:23:46.887Z,"Thank you for your submission! This track has such a fun, almost jazzy groove. The vocals have a gorgeous dreamy rock energy which I like conceptually but unfortunately the styling felt a bit strained in some of the more dynamic moments to me. Loved all the percussive elements around 1:15 - 1:30 especially. Solid song overall — thanks again and we look forward to future releases! ",,119
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Wolf in a Suit,Blog,http://www.wolfinasuit.com/,United States,listen,2024-09-26T15:38:07.485Z,,,
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Wolf in a Suit,Blog,http://www.wolfinasuit.com/,United States,declined,2024-09-26T15:41:03.967Z,"While there is a lot of talent and charm here, I felt that the arrangement sounded a bit too old school at times. ",,177
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Glide Magazine,Blog,http://glidemagazine.com/,United States,listen,2024-09-26T22:42:28.218Z,,,
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Glide Magazine,Blog,http://glidemagazine.com/,United States,declined,2024-09-26T22:43:52.595Z,"Thank you for sharing this one with us! I enjoy the minimalistic grooves from the instrumentation, but the songwriting on this one isn't connecting with me enough to share. I'm going to pass respectfully, but please send more music our way soon! ",,85
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Music On The Rox,Blog,https://www.musicontherox.com,United States,listen,2024-09-27T02:24:52.920Z,,,327
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Music On The Rox,Blog,https://www.musicontherox.com,United States,listen,2024-09-27T02:52:01.640Z,,,
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Music On The Rox,Blog,https://www.musicontherox.com,United States,declined,2024-09-27T02:52:38.843Z,"You have a great voice. For us, we are looking for heavier vocal production that showcases more of your vocal range in the song. Thanks for sending it over. ",,38
https://www.submithub.com/campaign/mqRNsd3CWZkfo6nfX,2024-09-24T05:23:54.224Z,Critiques by SwanoDown,Blog,https://swanodown.com/blogs/critiques-by-swanodown,United States,listen,2024-09-27T03:52:46.339Z,,,
https://www.submithub.com/campaign/WLKHEW2GY7uHshcFr,2024-09-23T05:47:36.376Z,RHYTHM REVOLUTION,Spotify Playlister,https://open.spotify.com/user/31b4p4ce2oufklegddn63mw3ksyq?si=c01ffd431191402c,Australia,listen,2024-09-23T08:26:41.728Z,,,327
https://www.submithub.com/campaign/WLKHEW2GY7uHshcFr,2024-09-23T05:47:36.376Z,RHYTHM REVOLUTION,Spotify Playlister,https://open.spotify.com/user/31b4p4ce2oufklegddn63mw3ksyq?si=c01ffd431191402c,Australia,listen,2024-09-23T10:16:58.612Z,,,
https://www.submithub.com/campaign/WLKHEW2GY7uHshcFr,2024-09-23T05:47:36.376Z,RHYTHM REVOLUTION,Spotify Playlister,https://open.spotify.com/user/31b4p4ce2oufklegddn63mw3ksyq?si=c01ffd431191402c,Australia,approved,2024-09-23T10:17:48.187Z,,How: in a Spotify playlist,47
