Campaign url,Campaign date,Outlet,Outlet type,Outlet url,Outlet country,Action,Action timestamp,Feedback,Additional notes,Listen time (seconds)
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,listen,2026-05-08T01:16:34.374Z,,,221
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Melody & Flow Society,Spotify Playlister,https://open.spotify.com/user/31t6m6dukcfuqht6p7wfpxk3oynq?si=c3177dc9d3d74148,Brazil,listen,2026-05-08T02:03:48.281Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Melody & Flow Society,Spotify Playlister,https://open.spotify.com/user/31t6m6dukcfuqht6p7wfpxk3oynq?si=c3177dc9d3d74148,Brazil,declined,2026-05-08T02:05:43.791Z,"Agradecemos o envio, Socially Acceptable. Sua produção estabelece uma sonoridade dançante e autêntica, com um instrumental rico em baixos e trompetes que servem de base ideal para segundas vozes muito bem posicionadas aos 1:46. Contudo, a composição carrega uma energia bastante elevada que destoa da nossa curadoria atual, apresentando um vocal potente e percussões agitadas que criam um vigor acima do equilíbrio que buscamos hoje. Por essa força e presença marcante, seu som tem um encaixe excelente em seleções de indie pop que foquem em atmosferas vibrantes e enérgicas. Sucesso com seu lançamento e em toda a sua trajetória artística!",,115
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Melody & Flow Society,Spotify Playlister,https://open.spotify.com/user/31t6m6dukcfuqht6p7wfpxk3oynq?si=c3177dc9d3d74148,Brazil,listen,2026-05-08T02:05:40.720Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,listen,2026-05-08T02:27:49.422Z,,,49
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,listen,2026-05-08T03:54:15.970Z,,,110
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,listen,2026-05-08T05:07:49.771Z,,,180
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,EXTRAVAFRENCH,Blog,https://extravafrench.com/,France,listen,2026-05-09T11:37:47.131Z,,,99
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,EXTRAVAFRENCH,Blog,https://extravafrench.com/,France,listen,2026-05-09T12:36:23.536Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,EXTRAVAFRENCH,Blog,https://extravafrench.com/,France,declined,2026-05-09T12:37:25.130Z,"Bonjour, merci pour cette nouvelle proposition musicale. On trouve qu'elle est très accrocheuse, il y a quelque chose de solaire dans la production et c'est plutôt cool à entendre. Après, en termes de style, ça ne correspond pas exactement à ce que nous recherchons actuellement.",,59
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Fran Laurito,Spotify Playlister,https://open.spotify.com/user/11173087970?si=ca0b4850aeb24a4e,Netherlands,listen,2026-05-09T14:17:46.555Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,InYourChill,Spotify Playlister,https://open.spotify.com/user/ersxxojg18hnzmir1jweb1oav,France,listen,2026-05-09T15:01:42.966Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,InYourChill,Spotify Playlister,https://open.spotify.com/user/ersxxojg18hnzmir1jweb1oav,France,declined,2026-05-09T15:03:30.215Z,"Hello! Me To Tell You is driven by an authentic fervor that gives the track a strong energy. I apprecaited the passion and momentum throughout, though it feels far too energetic and upbeat for the direction of our playlists.",,107
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Nico Santino,Spotify Playlister,https://open.spotify.com/user/31qv733c4f555xf7dfkkfivolaou,Sweden,listen,2026-05-09T15:38:16.396Z,,,48
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Nico Santino,Spotify Playlister,https://open.spotify.com/user/31qv733c4f555xf7dfkkfivolaou,Sweden,approved,2026-05-09T15:39:17.477Z,,How: in a Spotify playlist,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Nico Santino,Spotify Playlister,https://open.spotify.com/user/31qv733c4f555xf7dfkkfivolaou,Sweden,shared,2026-05-09T15:39:21.681Z,https://open.spotify.com/playlist/0Dsh7UhLfEW1gq5DpaGWhk,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Globetrotting Music,Spotify Playlister,https://open.spotify.com/user/szyger?si=868c9de496fb43d0,United Kingdom,listen,2026-05-09T19:21:10.767Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Globetrotting Music,Spotify Playlister,https://open.spotify.com/user/szyger?si=868c9de496fb43d0,United Kingdom,declined,2026-05-09T19:22:36.661Z,"Thanks for sharing your music with us, but this was a little too much for us. We're not after folk-pop sound, but more of a stripped back acoustic indie folk type of music. Sorry!",,86
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Vibes Paradise,Spotify Playlister,https://open.spotify.com/user/w8dj6ne0ny7mmgp1os65fnd19?si=9c305ffbd92443b5,South Africa,listen,2026-05-09T19:49:21.392Z,,,287
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Vibes Paradise,Spotify Playlister,https://open.spotify.com/user/w8dj6ne0ny7mmgp1os65fnd19?si=9c305ffbd92443b5,South Africa,declined,2026-05-09T20:08:24.790Z,"We appreciate you sending this through. The instrumental layering shows good control, and the rhythm section is steady without overpowering the vocals. The mix feels balanced, allowing each element space to breathe. However, the overall energy remained quite level, which made it harder for the track to truly engage. Adding more variation in intensity or a bold hook section could elevate your next track significantly. All the best on this release;)",,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,listen,2026-05-09T22:01:21.748Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,listen,2026-05-09T22:11:29.136Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,lacaverna.net,Blog,https://lacaverna.net,Mexico,approved,2026-05-09T22:11:52.344Z,"me gustó la canción, la compartiré en mis redes sociales, blog y playlists, saludos","How: as a blog review, in a Spotify playlist, on Apple Music, on Deezer, in a YouTube playlist, in a SoundCloud playlist and on one (or more) of our social networks",
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Music For All,Blog,https://musicforall.com.br/,Brazil,listen,2026-05-10T01:59:00.389Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Music For All,Blog,https://musicforall.com.br/,Brazil,declined,2026-05-10T02:01:45.492Z,"A música agrada pela qualidade de seus arranjos e melodias, funcionando bem nesse sentido, mas ainda assim sentimos falta aqui de passagens que impactem um pouco mais.",,165
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Greesha,Spotify Playlister,https://open.spotify.com/user/1rqbhtoz7g9wfx0zdti1osiq8,Belgium,listen,2026-05-10T04:12:33.996Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Greesha,Spotify Playlister,https://open.spotify.com/user/1rqbhtoz7g9wfx0zdti1osiq8,Belgium,declined,2026-05-10T04:14:32.168Z,"Hey, good production, the atmosphere is energetic and fresh chorus, the narrative is meaningful. Unfortunately the melodic line was not our favorite for this time. Always open to check new releases. Thanks for submitting.",,118
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,listen,2026-05-10T05:06:58.908Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,listen,2026-05-10T05:17:55.638Z,,,209
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,listen,2026-05-10T05:40:51.437Z,,,219
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,listen,2026-05-10T05:45:39.645Z,,,156
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Rock Fueguino,Blog,http://www.rock-fueguino.com.ar/,Argentina,approved,2026-05-10T05:48:24.070Z,"Hi Socially Acceptable thanks for sharing ""Me To Tell You"" I'm gonna write a review and also add the track to my playlist Chillout in the Office. Cheers!","How: as a blog review, in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist",
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,F Sharp Minor,Spotify Playlister,https://open.spotify.com/user/31jsw2hd7ht3dqhpkhgtph7pn75y?si=1b327b61e15c4079,India,listen,2026-05-10T10:09:39.799Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,F Sharp Minor,Spotify Playlister,https://open.spotify.com/user/31jsw2hd7ht3dqhpkhgtph7pn75y?si=1b327b61e15c4079,India,declined,2026-05-10T10:11:10.835Z,Very interesting sound. I loved the vocals. The instrumentation is amazing. I just felt that the overall mood of the arrangement is a little too bright for what I am going for right now. I am looking for a little more subtlety. I totally respect what you were going for though. All the best! :),,91
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Alex Memu,Spotify Playlister,https://open.spotify.com/user/31jyeqnvw3zw4sp7inteqtuyt2r4?si=P65-x9xRTdmF7fsNLsffJw,Spain,listen,2026-05-10T13:57:41.622Z,,,106
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Alex Memu,Spotify Playlister,https://open.spotify.com/user/31jyeqnvw3zw4sp7inteqtuyt2r4?si=P65-x9xRTdmF7fsNLsffJw,Spain,saved,2026-05-10T14:01:08.639Z,,,
https://www.submithub.com/campaign/v3voEbw9EjhJdbeqc,2026-05-08T00:58:48.884Z,Alex Memu,Spotify Playlister,https://open.spotify.com/user/31jyeqnvw3zw4sp7inteqtuyt2r4?si=P65-x9xRTdmF7fsNLsffJw,Spain,listen,2026-05-10T16:11:36.238Z,,,113
