Campaign url,Campaign date,Outlet,Outlet type,Outlet url,Outlet country,Action,Action timestamp,Feedback,Additional notes,Listen time (seconds)
https://www.submithub.com/campaign/tvgvTMtP3mTqPeuya,2026-04-05T08:47:46.616Z,Perspective,Blog,https://www.perspectiveonlife.nl/,Netherlands,listen,2026-04-05T09:11:32.080Z,,,
https://www.submithub.com/campaign/tvgvTMtP3mTqPeuya,2026-04-05T08:47:46.616Z,Perspective,Blog,https://www.perspectiveonlife.nl/,Netherlands,approved,2026-04-05T09:12:48.525Z,,How: as a blog review,79
https://www.submithub.com/campaign/tvgvTMtP3mTqPeuya,2026-04-05T08:47:46.616Z,Perspective,Blog,https://www.perspectiveonlife.nl/,Netherlands,listen,2026-04-05T09:12:45.024Z,,,
https://www.submithub.com/campaign/tvgvTMtP3mTqPeuya,2026-04-05T08:47:46.616Z,Perspective,Blog,https://www.perspectiveonlife.nl/,Netherlands,shared,2026-04-05T10:46:39.458Z,https://www.perspectiveonlife.nl/2026/04/socially-acceptable-sh2ba-review.html,,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Steven Luke,Spotify Playlister,https://open.spotify.com/user/stevennaylor-gb?si=fSEq80hFRb2JcRIVJh0mMw,United Kingdom,listen,2026-03-11T13:00:04.240Z,,,213
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Filip Urelind,Spotify Playlister,https://open.spotify.com/user/1110661728?si=32fc4a45f5714107,Sweden,listen,2026-03-11T13:12:14.007Z,,,59
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Filip Urelind,Spotify Playlister,https://open.spotify.com/user/1110661728?si=32fc4a45f5714107,Sweden,approved,2026-03-11T13:13:21.467Z,"Lovely to hear a really organic piece of music. Love the guitar fills, the drums & the relaxed but still powerful vocals! Will ad it for sure since its exactly what I'm looking for. ",How: in a Spotify playlist,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Filip Urelind,Spotify Playlister,https://open.spotify.com/user/1110661728?si=32fc4a45f5714107,Sweden,shared,2026-03-11T13:13:26.283Z,https://open.spotify.com/playlist/4s8Hv8GTHYALN80Sd27bbB,,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,fatmaoz,Spotify Playlister,https://open.spotify.com/user/21rknnyefnhqfoqs5q7emlyxq?si=a281ae30e7b34020,Turkey,listen,2026-03-11T13:26:01.619Z,,,217
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,fatmaoz,Spotify Playlister,https://open.spotify.com/user/21rknnyefnhqfoqs5q7emlyxq?si=a281ae30e7b34020,Turkey,listen,2026-03-11T14:29:07.116Z,,,61
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,fatmaoz,Spotify Playlister,https://open.spotify.com/user/21rknnyefnhqfoqs5q7emlyxq?si=a281ae30e7b34020,Turkey,approved,2026-03-11T14:30:20.823Z,,How: in a Spotify playlist,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,fatmaoz,Spotify Playlister,https://open.spotify.com/user/21rknnyefnhqfoqs5q7emlyxq?si=a281ae30e7b34020,Turkey,shared,2026-03-11T14:30:25.821Z,https://open.spotify.com/playlist/2je6dYaxDWb6IRiU6ZTMaG,,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Steven Luke,Spotify Playlister,https://open.spotify.com/user/stevennaylor-gb?si=fSEq80hFRb2JcRIVJh0mMw,United Kingdom,listen,2026-03-11T15:17:42.134Z,,,55
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Steven Luke,Spotify Playlister,https://open.spotify.com/user/stevennaylor-gb?si=fSEq80hFRb2JcRIVJh0mMw,United Kingdom,approved,2026-03-11T15:18:46.910Z,,"How: in a Spotify playlist, on Apple Music, on Deezer, in a YouTube playlist and in a SoundCloud playlist",
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Steven Luke,Spotify Playlister,https://open.spotify.com/user/stevennaylor-gb?si=fSEq80hFRb2JcRIVJh0mMw,United Kingdom,shared,2026-03-11T15:18:52.802Z,"https://open.spotify.com/playlist/4q6VFs6REzCak4PmZS5q7x,https://music.apple.com/us/playlist/pl.u-55D6ZNlHg64AZp,https://www.youtube.com/playlist?list=PLmAOSTo92wujf9ALwOzcCUGQkDdVBKhrC,https://www.deezer.com/en/playlist/14467291803,https://open.spotify.com/playlist/56Kv0X1GQFsiCk0kT2P498,https://music.apple.com/us/playlist/pl.u-4Joma4ltGJWqpe,https://www.youtube.com/playlist?list=PLmAOSTo92wugayF4xolFvXosYQ6UCueQt,https://www.deezer.com/en/playlist/14467312543",,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Americana Country by Singer-Songwriter Kev Rowe,Spotify Playlister,https://open.spotify.com/user/1213277446?si=55HhEvm3QDyGnyZzppQzjw,United States,listen,2026-03-11T17:08:19.302Z,,,82
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Americana Country by Singer-Songwriter Kev Rowe,Spotify Playlister,https://open.spotify.com/user/1213277446?si=55HhEvm3QDyGnyZzppQzjw,United States,approved,2026-03-11T17:09:50.032Z,Very nice. Adding to Healing Americana now. Thanks and hope to hear more from you!,"How: in a Spotify playlist, on Apple Music and in a YouTube playlist",
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,Americana Country by Singer-Songwriter Kev Rowe,Spotify Playlister,https://open.spotify.com/user/1213277446?si=55HhEvm3QDyGnyZzppQzjw,United States,shared,2026-03-11T17:09:55.894Z,"https://open.spotify.com/playlist/1mzlYOsEwnX378PwmM9fVM,https://music.apple.com/us/playlist/pl.u-6mo4aVycEB4y8l,https://www.youtube.com/playlist?list=PLYyPliPjfnJkDhjcMuQEwjuQlHVfcHiuQ",,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,CivilServiceMusic,Spotify Playlister,https://open.spotify.com/user/bradpetrosky?si=663d2d1c1bd34c69,Australia,listen,2026-03-11T19:07:01.737Z,,,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,CivilServiceMusic,Spotify Playlister,https://open.spotify.com/user/bradpetrosky?si=663d2d1c1bd34c69,Australia,approved,2026-03-11T19:08:42.697Z,Great track! I'll add you to an Instagram shout out asap too :),How: in a Spotify playlist and as an Instagram Reel,111
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,listen,2026-03-12T03:28:32.601Z,,,155
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,listen,2026-03-12T05:13:34.922Z,,,216
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,listen,2026-03-12T05:47:08.421Z,,,216
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,listen,2026-03-12T06:13:46.293Z,,,216
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,listen,2026-03-12T06:25:09.539Z,,,
https://www.submithub.com/campaign/9Y6iQ2tDssSxXN7sA,2026-03-11T03:54:00.679Z,ReBL,Spotify Playlister,https://open.spotify.com/user/6j549mm3rkn1h8u471sjtu0s3?si=374ce786b9a6407e,Belgium,approved,2026-03-12T06:26:26.355Z,,How: in a Spotify playlist,
